🕘️更新时间,#genre#
CCTV-13,http://117.144.58.42:35455/gaoma/cctv13.m3u8$订阅源--1920x1080
CCTV-13,http://nmmp.asia:35455/gaoma/cctv13.m3u8$订阅源--1920x1080
CCTV-13,http://1.itv.nctv.top:35455/gaoma/cctv13.m3u8$订阅源--1920x1080
CCTV-13,http://111.170.172.113:35455/gaoma/cctv13.m3u8$订阅源--1920x1080
CCTV-14,http://z.b.bkpcp.top/m.php?id=cctv14$订阅源--1920x1080
CCTV-14,http://219.145.93.74:9999/tsfile/live/0014_1.m3u8$订阅源--1920x1080
CCTV-14,http://221.2.148.205:8154/tsfile/live/0014_1.m3u8?key=txiptv&playlive=1&authid=0$订阅源--1920x1080
CCTV-14,http://58.17.48.228:808/hls/14/index.m3u8$订阅源--1920x1080
CCTV-14,http://123.182.60.29:9002/hls/14/index.m3u8$订阅源--1920x1080
CCTV-14,http://61.138.128.226:19901/tsfile/live/0015_1.m3u8$订阅源--1920x1080
CCTV-14,http://www.terrykang.xyz:35455/itv/1000000005000265013.m3u8?cdn=ystenlive$订阅源--1920x1080
CCTV-14,http://dsm.huarunguoji.top:35455/gaoma/cctv14.m3u8$订阅源--1920x1080
CCTV-14,http://dsm.huarunguoji.top:35455/itv/1000000005000265013.m3u8?cdn=ystenlive$订阅源--1920x1080
CCTV-14,http://117.144.58.42:35455/gaoma/cctv14.m3u8$订阅源--1920x1080
CCTV-15,http://z.b.bkpcp.top/m.php?id=cctv15$订阅源--1920x1080
CCTV-15,http://221.2.148.205:8154/tsfile/live/0015_1.m3u8?key=txiptv&playlive=1&authid=0$订阅源--1920x1080
CCTV-15,http://123.182.60.29:9002/hls/15/index.m3u8$订阅源--1920x1080
CCTV-15,http://61.138.128.226:19901/tsfile/live/0019_1.m3u8$订阅源--1920x1080
CCTV-15,http://www.terrykang.xyz:35455/itv/1000000005000265014.m3u8?cdn=ystenlive$订阅源--1920x1080
CCTV-15,http://dsm.huarunguoji.top:35455/gaoma/cctv15.m3u8$订阅源--1920x1080
CCTV-15,http://dsm.huarunguoji.top:35455/itv/1000000005000265014.m3u8?cdn=ystenlive$订阅源--1920x1080
CCTV-15,http://117.144.58.42:35455/gaoma/cctv15.m3u8$订阅源--1920x1080
CCTV-15,http://1.itv.nctv.top:35455/gaoma/cctv15.m3u8$订阅源--1920x1080
CCTV-15,http://1.itv.nctv.top:35455/itv/1000000005000265014.m3u8?cdn=ystenlive$订阅源--1920x1080
CCTV-16,http://58.17.48.228:808/hls/25/index.m3u8$订阅源--1920x1080
CCTV-16,http://www.terrykang.xyz:35455/itv/1000000006000233002.m3u8?cdn=ystenlive$订阅源--1920x1080
CCTV-16,http://dsm.huarunguoji.top:35455/gaoma/cctv16.m3u8$订阅源--1920x1080
CCTV-16,http://dsm.huarunguoji.top:35455/itv/1000000006000233002.m3u8?cdn=ystenlive$订阅源--1920x1080
CCTV-16,http://117.144.58.42:35455/gaoma/cctv16.m3u8$订阅源--1920x1080
CCTV-16,http://nmmp.asia:35455/gaoma/cctv16.m3u8$订阅源--1920x1080
CCTV-16,http://1.itv.nctv.top:35455/gaoma/cctv16.m3u8$订阅源--1920x1080
CCTV-16,http://1.itv.nctv.top:35455/itv/1000000006000233002.m3u8?cdn=ystenlive$订阅源--1920x1080
CCTV-16,http://111.170.172.113:35455/gaoma/cctv16.m3u8$订阅源--1920x1080
CCTV-16,http://111.170.172.113:35455/itv/1000000006000233002.m3u8?cdn=ystenlive$订阅源--1920x1080
CCTV-17,http://z.b.bkpcp.top/m.php?id=cctv17$订阅源--1920x1080
CCTV-17,http://221.2.148.205:8154/tsfile/live/0019_1.m3u8?key=txiptv&playlive=1&authid=0$订阅源--1920x1080
CCTV-17,http://www.terrykang.xyz:35455/itv/1000000005000265015.m3u8?cdn=ystenlive$订阅源--1920x1080
CCTV-17,http://dsm.huarunguoji.top:35455/gaoma/cctv17.m3u8$订阅源--1920x1080
CCTV-17,http://dsm.huarunguoji.top:35455/itv/1000000005000265015.m3u8?cdn=ystenlive$订阅源--1920x1080
CCTV-17,http://117.144.58.42:35455/gaoma/cctv17.m3u8$订阅源--1920x1080
CCTV-17,http://nmmp.asia:35455/gaoma/cctv17.m3u8$订阅源--1920x1080
CCTV-17,http://1.itv.nctv.top:35455/gaoma/cctv17.m3u8$订阅源--1920x1080
CCTV-17,http://1.itv.nctv.top:35455/itv/1000000005000265015.m3u8?cdn=ystenlive$订阅源--1920x1080
CCTV-17,http://111.170.172.113:35455/gaoma/cctv17.m3u8$订阅源--1920x1080
CETV1,http://139.129.231.228:3529/rtp/239.21.2.7:5002$山东电信组播源-
CETV1,http://120.55.49.231:3095/rtp/233.50.201.75:5140$浙江电信组播源-
CETV1,http://139.129.231.228:50060/rtp/239.21.2.7:5002$山东电信组播源-
CETV2,http://139.129.231.228:3529/rtp/239.21.2.8:5002$山东电信组播源-
CETV2,http://139.129.231.228:50060/rtp/239.21.2.8:5002$山东电信组播源-
CETV4,http://139.129.231.228:3529/rtp/239.21.1.222:5002$山东电信组播源-
CETV4,http://120.55.49.231:3095/rtp/233.50.200.162:5140$浙江电信组播源-
CETV4,http://139.129.231.228:50060/rtp/239.21.1.222:5002$山东电信组播源-

💰央视付费频道,#genre#
央视台球,http://183.11.239.36:808/hls/73/index.m3u8$订阅源-
风云足球,http://120.238.94.10:9901/tsfile/live/1087_1.m3u8$订阅源-
风云足球,http://183.11.239.36:808/hls/133/index.m3u8$订阅源-
世界地理,http://183.11.239.36:808/hls/11/index.m3u8$订阅源-

📡卫视频道,#genre#
浙江卫视,http://zhfivel02.cztv.com/channel01/1080p.m3u8?auth_key=2524708799-0-0-adde67b1b344fdd5e512f30a4ae31915$订阅源--1920x1080
浙江卫视,http://219.145.93.74:9999/tsfile/live/1005_1.m3u8$订阅源--1920x1080
浙江卫视,http://221.2.148.205:8154/tsfile/live/0124_1.m3u8?key=txiptv&playlive=1&authid=0$订阅源--1920x1080
浙江卫视,http://112.46.85.60:8009/hls/34/index.m3u8$订阅源--1920x1080
浙江卫视,http://58.17.48.228:808/hls/32/index.m3u8$订阅源--1920x1080
浙江卫视,http://111.61.236.247:9081/hls/25/index.m3u8$订阅源--1920x1080
浙江卫视,http://60.223.224.176:8888/newlive/live/hls/23/live.m3u8$订阅源--1920x1080
浙江卫视,http://61.138.128.226:19901/tsfile/live/1044_1.m3u8$订阅源--1920x1080
浙江卫视,http://www.terrykang.xyz:35455/itv/1000000005000265031.m3u8?cdn=ystenlive$订阅源--1920x1080
浙江卫视,http://dsm.huarunguoji.top:35455/itv/1000000005000265031.m3u8?cdn=ystenlive$订阅源--1920x1080
湖南卫视,http://tvpull.careryun.com/tv/cn_hunws.m3u8$订阅源--1920x1080
湖南卫视,http://219.145.93.74:9999/tsfile/live/1003_1.m3u8$订阅源--1920x1080
湖南卫视,http://221.2.148.205:8154/tsfile/live/0128_1.m3u8?key=txiptv&playlive=1&authid=0$订阅源--1920x1080
湖南卫视,http://58.17.48.228:808/hls/31/index.m3u8$订阅源--1920x1080
湖南卫视,http://111.61.236.247:9081/hls/24/index.m3u8$订阅源--1920x1080
湖南卫视,http://60.223.224.176:8888/newlive/live/hls/22/live.m3u8$订阅源--1920x1080
湖南卫视,http://61.138.128.226:19901/tsfile/live/0128_1.m3u8$订阅源--1920x1080
湖南卫视,http://61.138.128.226:19901/tsfile/live/0128_1.m3u8?key=txiptv&playlive=1&authid=0$订阅源--1920x1080
湖南卫视,http://www.terrykang.xyz:35455/itv/1000000005000265024.m3u8?cdn=ystenlive$订阅源--1920x1080
湖南卫视,http://dsm.huarunguoji.top:35455/itv/1000000005000265024.m3u8?cdn=ystenlive$订阅源--1920x1080
北京卫视,http://tvpull.careryun.com/tv/cn_bjws.m3u8$订阅源--1920x1080
北京卫视,http://219.145.93.74:9999/tsfile/live/1007_1.m3u8$订阅源--1920x1080
北京卫视,http://221.2.148.205:8154/tsfile/live/0122_1.m3u8?key=txiptv&playlive=1&authid=0$订阅源--1920x1080
北京卫视,http://36.32.174.67:60080/newlive/live/hls/25/live.m3u8$订阅源--1920x1080
北京卫视,http://111.61.236.247:9081/hls/28/index.m3u8$订阅源--1920x1080
北京卫视,http://60.223.224.176:8888/newlive/live/hls/18/live.m3u8$订阅源--1920x1080
北京卫视,http://61.138.128.226:19901/tsfile/live/0122_1.m3u8$订阅源--1920x1080
北京卫视,http://www.terrykang.xyz:35455/itv/1000000005000265027.m3u8?cdn=ystenlive$订阅源--1920x1080
北京卫视,http://dsm.huarunguoji.top:35455/itv/1000000005000265027.m3u8?cdn=ystenlive$订阅源--1920x1080
北京卫视,http://1.itv.nctv.top:35455/itv/1000000005000265027.m3u8?cdn=ystenlive$订阅源--1920x1080
湖北卫视,http://z.b.bkpcp.top/m.php?id=hubws$订阅源--1920x1080
湖北卫视,http://221.2.148.205:8154/tsfile/live/0132_1.m3u8?key=txiptv&playlive=1&authid=0$订阅源--1920x1080
湖北卫视,http://36.32.174.67:60080/newlive/live/hls/28/live.m3u8$订阅源--1920x1080
湖北卫视,http://111.61.236.247:9081/hls/39/index.m3u8$订阅源--1920x1080
湖北卫视,http://60.223.224.176:8888/newlive/live/hls/33/live.m3u8$订阅源--1920x1080
湖北卫视,http://61.138.128.226:19901/tsfile/live/0132_1.m3u8$订阅源--1920x1080
湖北卫视,http://www.terrykang.xyz:35455/itv/1000000005000265023.m3u8?cdn=ystenlive$订阅源--1920x1080
湖北卫视,http://dsm.huarunguoji.top:35455/itv/1000000005000265023.m3u8?cdn=ystenlive$订阅源--1920x1080
湖北卫视,http://1.itv.nctv.top:35455/itv/1000000005000265023.m3u8?cdn=ystenlive$订阅源--1920x1080
湖北卫视,http://111.170.172.113:35455/itv/1000000005000265023.m3u8?cdn=ystenlive$订阅源--1920x1080
黑龙江卫视,http://tvpull.careryun.com/tv/cn_hljws.m3u8$订阅源--1920x1080
黑龙江卫视,http://219.145.93.74:9999/tsfile/live/1009_1.m3u8$订阅源--1920x1080
黑龙江卫视,http://221.2.148.205:8154/tsfile/live/0143_1.m3u8?key=txiptv&playlive=1&authid=0$订阅源--1920x1080
黑龙江卫视,http://111.61.236.247:9081/hls/34/index.m3u8$订阅源--1920x1080
黑龙江卫视,http://61.138.128.226:19901/tsfile/live/0143_1.m3u8$订阅源--1920x1080
黑龙江卫视,http://home.dzlove.top:35455/itv/1000000005000265029.m3u8?cdn=ystenlive$订阅源--1920x1080
黑龙江卫视,http://175.10.230.91:8081/tsfile/live/0143_1.m3u8$订阅源--720x576
黑龙江卫视,http://139.129.231.228:3529/rtp/239.21.1.91:5002$山东电信组播源-
黑龙江卫视,http://120.55.49.231:3095/rtp/233.50.201.115:5140$浙江电信组播源-
黑龙江卫视,http://120.55.49.231:3095/rtp/233.50.201.42:5140$浙江电信组播源-
安徽卫视,http://tvpull.careryun.com/tv/ahws.m3u8$订阅源--1920x1080
安徽卫视,http://219.145.93.74:9999/tsfile/live/0135_1.m3u8$订阅源--1920x1080
安徽卫视,http://223.241.247.214:85//tsfile/live/0019_1.m3u8?key=txiptv&playlive=1&authid=0$订阅源--1920x1080
安徽卫视,http://221.2.148.205:8154/tsfile/live/0130_1.m3u8?key=txiptv&playlive=1&authid=0$订阅源--1920x1080
安徽卫视,http://111.61.236.247:9081/hls/27/index.m3u8$订阅源--1920x1080
安徽卫视,http://123.182.60.29:9002/hls/28/index.m3u8$订阅源--1920x1080
安徽卫视,http://61.138.128.226:19901/tsfile/live/0130_1.m3u8$订阅源--1920x1080
安徽卫视,http://www.terrykang.xyz:35455/itv/1000000005000265025.m3u8?cdn=ystenlive$订阅源--1920x1080
安徽卫视,http://dsm.huarunguoji.top:35455/itv/1000000005000265025.m3u8?cdn=ystenlive$订阅源--1920x1080
安徽卫视,http://1.itv.nctv.top:35455/itv/1000000005000265025.m3u8?cdn=ystenlive$订阅源--1920x1080
重庆卫视,http://tvpull.careryun.com/tv/cn_cqws.m3u8$订阅源--1920x1080
重庆卫视,http://219.145.93.74:9999/tsfile/live/0138_1.m3u8$订阅源--1920x1080
重庆卫视,http://221.2.148.205:8154/tsfile/live/0142_1.m3u8?key=txiptv&playlive=1&authid=0$订阅源--1920x1080
重庆卫视,http://36.32.174.67:60080/newlive/live/hls/34/live.m3u8$订阅源--1920x1080
重庆卫视,http://111.61.236.247:9081/hls/41/index.m3u8$订阅源--1920x1080
重庆卫视,http://123.182.60.29:9002/hls/42/index.m3u8$订阅源--1920x1080
重庆卫视,http://61.138.128.226:19901/tsfile/live/0142_1.m3u8$订阅源--1920x1080
重庆卫视,http://www.terrykang.xyz:35455/itv/1000000005000265017.m3u8?cdn=ystenlive$订阅源--1920x1080
重庆卫视,http://dsm.huarunguoji.top:35455/itv/1000000005000265017.m3u8?cdn=ystenlive$订阅源--1920x1080
重庆卫视,http://1.itv.nctv.top:35455/itv/1000000005000265017.m3u8?cdn=ystenlive$订阅源--1920x1080
东方卫视,http://tvpull.careryun.com/tv/dfws.m3u8$订阅源--1920x1080
东方卫视,http://219.145.93.74:9999/tsfile/live/1004_1.m3u8$订阅源--1920x1080
东方卫视,http://221.2.148.205:8154/tsfile/live/0107_1.m3u8?key=txiptv&playlive=1&authid=0$订阅源--1920x1080
东方卫视,http://112.46.85.60:8009/hls/31/index.m3u8$订阅源--1920x1080
东方卫视,http://36.32.174.67:60080/newlive/live/hls/24/live.m3u8$订阅源--1920x1080
东方卫视,http://111.61.236.247:9081/hls/40/index.m3u8$订阅源--1920x1080
东方卫视,http://60.223.224.176:8888/newlive/live/hls/19/live.m3u8$订阅源--1920x1080
东方卫视,http://61.138.128.226:19901/tsfile/live/0107_1.m3u8$订阅源--1920x1080
东方卫视,http://www.terrykang.xyz:35455/itv/1000000005000265018.m3u8?cdn=ystenlive$订阅源--1920x1080
东方卫视,http://dsm.huarunguoji.top:35455/itv/1000000005000265018.m3u8?cdn=ystenlive$订阅源--1920x1080
